suite,signal,exit,symbol,tf,net_profit_pct,profit_factor,win_rate,max_dd_pct,trades,avg_trade_pct,bh_pct,alpha_pct,tpw,bear_pnl_pct,bull_pnl_pct,short_pnl_pct,exposure_pct,robustness,overfit_risk,raw
homily,Dragon total (all 7),Signal flip,NASDAQ:MRNA,D,265.12,3.222,55.26,41.58,38.0,,728.17,-463.06,0.0936,-0.5143,265.63,0.0,10.38,1.39,0.78,"C | Moderna, Inc. | 1D ‖ {'Total PnL': '+26,511.67USD+265.12%', 'Max drawdown': '4,760.98USD41.58%', 'Profitable trades': '55.26%21/38', 'Profit factor': '3.222', 'Total trades': '38'}"
homily,Dragon total (all 7),Signal flip,NASDAQ:PLTR,D,1.26,1.011,41.67,51.21,36.0,,1769.89,-1768.63,0.1156,-5.78,7.04,0.0,10.21,0.06,0.87,"C | Palantir Technologies Inc. | 1D ‖ {'Total PnL': '+126.12USD+1.26%', 'Max drawdown': '5,143.09USD51.21%', 'Profitable trades': '41.67%15/36', 'Profit factor': '1.011', 'Total trades': '36'}"
homily,Dragon total (all 7),Signal flip,NASDAQ:NVDA,D,63.43,1.635,50.77,19.4,65.0,,4359.89,-4296.47,0.143,-0.1702,63.6,0.0,13.01,2.0,0.79,"C | NVIDIA Corporation | 1D ‖ {'Total PnL': '+6,342.73USD+63.43%', 'Max drawdown': '3,820.11USD19.40%', 'Profitable trades': '50.77%33/65', 'Profit factor': '1.635', 'Total trades': '65'}"
homily,Dragon total (all 7),Signal flip,NASDAQ:INTC,D,22.05,1.322,35.29,29.2,34.0,,131.8,-109.76,0.0748,15.02,7.03,0.0,6.03,0.97,0.78,"C | Intel Corporation | 1D ‖ {'Total PnL': '+2,204.85USD+22.05%', 'Max drawdown': '3,096.64USD29.20%', 'Profitable trades': '35.29%12/34', 'Profit factor': '1.322', 'Total trades': '34'}"
homily,Dragon total (all 7),Signal flip,NASDAQ:IREN,D,165.69,2.405,41.38,30.7,29.0,,90.92,74.77,0.115,-6.81,172.5,0.0,10.31,1.8,0.73,"C | IREN LIMITED | 1D ‖ {'Total PnL': '+16,568.59USD+165.69%', 'Max drawdown': '3,663.00USD30.70%', 'Profitable trades': '41.38%12/29', 'Profit factor': '2.405', 'Total trades': '29'}"
homily,Dragon total (all 7),Signal flip,NASDAQ:ONDS,D,-42.25,0.764,28.57,180.74,28.0,,-45.26,3.01,0.0679,-13.68,-28.57,0.0,6.48,0.01,0.84,"C | Ondas Inc | 1D ‖ {'Total PnL': '−4,225.20USD−42.25%', 'Max drawdown': '18,074.48USD180.74%', 'Profitable trades': '28.57%8/28', 'Profit factor': '0.764', 'Total trades': '28'}"
homily,Dragon total (all 7),Signal flip,NASDAQ:SLNH,D,40.1,1.206,45.83,42.87,24.0,,-94.96,135.06,0.0528,0.9572,39.14,0.0,5.16,0.31,0.81,"C | Soluna Holdings, Inc. | 1D ‖ {'Total PnL': '+4,009.96USD+40.10%', 'Max drawdown': '9,883.10USD42.87%', 'Profitable trades': '45.83%11/24', 'Profit factor': '1.206', 'Total trades': '24'}"
homily,Dragon total (all 7),Signal flip,NASDAQ:CLSK,D,371.35,3.718,51.72,16.38,29.0,,-8.99,380.35,0.0647,0.0,371.35,0.0,8.26,1.95,0.74,"C | CleanSpark, Inc. | 1D ‖ {'Total PnL': '+37,135.44USD+371.35%', 'Max drawdown': '4,651.92USD16.38%', 'Profitable trades': '51.72%15/29', 'Profit factor': '3.718', 'Total trades': '29'}"
homily,Dragon total (all 7),Chandelier 3 ATR,NASDAQ:MRNA,D,304.73,2.911,40.74,52.46,27.0,,728.17,-423.44,0.0665,90.16,214.57,0.0,22.05,0.67,0.8,"C | Moderna, Inc. | 1D ‖ {'Total PnL': '+30,472.78USD+304.73%', 'Max drawdown': '5,245.97USD52.46%', 'Profitable trades': '40.74%11/27', 'Profit factor': '2.911', 'Total trades': '27'}"
homily,Dragon total (all 7),Chandelier 3 ATR,NASDAQ:PLTR,D,163.07,3.133,33.33,58.41,18.0,,1769.89,-1606.82,0.0578,30.08,132.99,0.0,28.22,0.48,0.83,"C | Palantir Technologies Inc. | 1D ‖ {'Total PnL': '+16,307.33USD+163.07%', 'Max drawdown': '5,841.00USD58.41%', 'Profitable trades': '33.33%6/18', 'Profit factor': '3.133', 'Total trades': '18'}"
homily,Dragon total (all 7),Chandelier 3 ATR,NASDAQ:NVDA,D,263.59,2.877,40.54,32.2,37.0,,4359.89,-4096.3,0.0814,72.14,191.46,0.0,40.82,1.57,0.8,"C | NVIDIA Corporation | 1D ‖ {'Total PnL': '+26,359.47USD+263.59%', 'Max drawdown': '3,220.10USD32.20%', 'Profitable trades': '40.54%15/37', 'Profit factor': '2.877', 'Total trades': '37'}"
homily,Dragon total (all 7),Chandelier 3 ATR,NASDAQ:INTC,D,76.45,1.636,30.77,76.67,26.0,,131.8,-55.35,0.0572,103.19,-26.74,0.0,16.85,0.06,0.86,"C | Intel Corporation | 1D ‖ {'Total PnL': '+7,645.33USD+76.45%', 'Max drawdown': '7,875.20USD76.67%', 'Profitable trades': '30.77%8/26', 'Profit factor': '1.636', 'Total trades': '26'}"
homily,Dragon total (all 7),Chandelier 3 ATR,NASDAQ:IREN,D,234.42,2.411,31.25,39.5,16.0,,90.92,143.5,0.0634,-6.81,241.23,0.0,20.77,0.86,0.79,"C | IREN LIMITED | 1D ‖ {'Total PnL': '+23,441.58USD+234.42%', 'Max drawdown': '6,289.75USD39.50%', 'Profitable trades': '31.25%5/16', 'Profit factor': '2.411', 'Total trades': '16'}"
homily,Dragon total (all 7),Chandelier 3 ATR,NASDAQ:ONDS,D,75.08,1.505,50.0,160.85,14.0,,-45.26,120.34,0.034,-39.73,114.82,0.0,17.49,0.02,0.83,"C | Ondas Inc | 1D ‖ {'Total PnL': '+7,508.17USD+75.08%', 'Max drawdown': '16,084.55USD160.85%', 'Profitable trades': '50.00%7/14', 'Profit factor': '1.505', 'Total trades': '14'}"
homily,Dragon total (all 7),Chandelier 3 ATR,NASDAQ:SLNH,D,294.17,2.482,35.0,47.01,20.0,,-94.96,389.13,0.044,49.35,244.82,0.0,10.52,0.54,0.81,"C | Soluna Holdings, Inc. | 1D ‖ {'Total PnL': '+29,417.00USD+294.17%', 'Max drawdown': '9,340.13USD47.01%', 'Profitable trades': '35.00%7/20', 'Profit factor': '2.482', 'Total trades': '20'}"
homily,Dragon total (all 7),Chandelier 3 ATR,NASDAQ:CLSK,D,421.04,3.73,50.0,16.38,20.0,,-8.99,430.04,0.0446,0.0,421.04,0.0,14.84,1.62,0.74,"C | CleanSpark, Inc. | 1D ‖ {'Total PnL': '+42,104.36USD+421.04%', 'Max drawdown': '6,163.07USD16.38%', 'Profitable trades': '50.00%10/20', 'Profit factor': '3.73', 'Total trades': '20'}"
homily,Dragon total (all 7),Flip or chandelier,NASDAQ:MRNA,D,249.47,3.091,56.41,41.58,39.0,,728.17,-478.71,0.0961,-0.5143,249.98,0.0,10.33,1.54,0.79,"C | Moderna, Inc. | 1D ‖ {'Total PnL': '+24,946.70USD+249.47%', 'Max drawdown': '4,760.98USD41.58%', 'Profitable trades': '56.41%22/39', 'Profit factor': '3.091', 'Total trades': '39'}"
homily,Dragon total (all 7),Flip or chandelier,NASDAQ:PLTR,D,1.26,1.011,41.67,51.21,36.0,,1769.89,-1768.63,0.1156,-5.78,7.04,0.0,10.21,0.06,0.88,"C | Palantir Technologies Inc. | 1D ‖ {'Total PnL': '+126.12USD+1.26%', 'Max drawdown': '5,143.09USD51.21%', 'Profitable trades': '41.67%15/36', 'Profit factor': '1.011', 'Total trades': '36'}"
homily,Dragon total (all 7),Flip or chandelier,NASDAQ:NVDA,D,63.43,1.635,50.77,19.4,65.0,,4359.89,-4296.47,0.143,-0.1702,63.6,0.0,13.01,2.02,0.79,"C | NVIDIA Corporation | 1D ‖ {'Total PnL': '+6,342.73USD+63.43%', 'Max drawdown': '3,820.11USD19.40%', 'Profitable trades': '50.77%33/65', 'Profit factor': '1.635', 'Total trades': '65'}"
